text,rating,sentiment,text_clean,sentiment_encoded
"bagus,  packing aman pake bublewrap.  ndak ada yang patah",5,Positif,bagus packing aman pake bublewrap ndak patah,2
Barang sesuai deskripsi,5,Positif,barang sesuai deskripsi,2
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5,Positif,cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,2
barang sudah sampai sesuai pesanan .,5,Positif,barang sesuai pesanan,2
Thanksssssssssssssss,3,Netral,thanksssssssssssssss,1
Barang bagus sesuai info fast response,4,Positif,barang bagus sesuai info fast response,2
"barang ok....
pengriman cepet....",5,Positif,barang ok pengriman cepet,2
barang sudah sy terima gan thanks,4,Positif,barang sy terima gan thanks,2
paket telah diterima baik.. Terima kasih,5,Positif,paket diterima terima kasih,2
"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",5,Positif,barang bagus ga kecewa order dah,2
"barang sudah di terima, terima kasih ....",4,Positif,barang terima terima kasih,2
Barang sudah diterima .........,4,Positif,barang diterima,2
sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,5,Positif,sip udah sampe menit yg oke sesuai pesanan gambar trimakasih kerjasamanya,2
sesuai deskripsi barangnya,5,Positif,sesuai deskripsi barangnya,2
Produk sesuai pesanan tp blm dcoba,4,Positif,produk sesuai pesanan tp blm dcoba,2
Proses cepat dan mantap,5,Positif,proses cepat mantap,2
Bagus sesuai dgn deskripsi thnks.,5,Positif,bagus sesuai dgn deskripsi thnks,2
Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,5,Positif,produk sesuai gambar deskripsi produknya bagus harganya jg bagus recommended produk,2
seller is good. produknya mantap. 5 stars ya,5,Positif,seller is good produknya mantap stars ya,2
"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",5,Positif,produk bagus sesuai deskripsi packing rapi pengiriman cepat kurirnya yg telat thanks,2
"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",5,Positif,mahmurah mantap barang sdh sampe thanks sukses,2
Produk diterima utuh tersegel.. semoga awet,5,Positif,produk diterima utuh tersegel semoga awet,2
"Sesuai order, pengiriman cepat, respon cepat",4,Positif,sesuai order pengiriman cepat respon cepat,2
Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,5,Positif,respon proses dr penjual cepat barang sdh diterima stlh kualitas barang bagus recommended seller thanks,2
Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,5,Positif,mantap sesuai deskripsi trimakasih semoga barokah jualannya,2
"Makasih gan, barang sesuai",5,Positif,makasih gan barang sesuai,2
Pengiriman cepat. Fast respon. Barang sesuai. Trims,5,Positif,pengiriman cepat fast respon barang sesuai trims,2
"Produknya bagus, berkualitas, dan berfungsi dg baik",5,Positif,produknya bagus berkualitas berfungsi dg,2
brg diterima dg baik&amp; lengkap,5,Positif,brg diterima dg baikamp lengkap,2
Great Product &amp; Great Seller,5,Positif,great product amp great seller,2
"Steplesnya sedikit lebih kecil dari staples khusu mollar, saat ditembakan keluar 2 dan jadi menumpuk yang keluar. Rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar",4,Positif,steplesnya staples khusu mollar ditembakan menumpuk rekomennya sih mending cari isi khusus mollar jk staplesnya merk mollar,2
Sesuai dengan pesanan..............,4,Positif,sesuai pesanan,2
Produk berfungsi dgn baik,5,Positif,produk berfungsi dgn,2
"produk sesuai dengan deskripsi, tapi belum dicoba",5,Positif,produk sesuai deskripsi dicoba,2
Barang sesuai diskripsi dan layanan cepat,5,Positif,barang sesuai diskripsi layanan cepat,2
"Sudah diterima, terima kasih",5,Positif,diterima terima kasih,2
Pesanan gx sesuai dgn yg d gambar,2,Negatif,pesanan gx sesuai dgn yg d gambar,0
Sudah diterima dengan baik dan bisa di pakai.,5,Positif,diterima pakai,2
Packing rapi dan respon cepat... recommended..!,4,Positif,packing rapi respon cepat recommended,2
Barang sudah diterima dg baik. Thx,4,Positif,barang diterima dg thx,2
"Barang bagus, kualitas sesuai harga",3,Netral,barang bagus kualitas sesuai harga,1
Terima kasih..........,5,Positif,terima kasih,2
"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",5,Positif,pengiriman cepat barang sesuai iklan berfungsi 👍👍👍,2
kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,5,Positif,kwalitas bagus sesuai ditawarkan respons cepat,2
Sesuai yg diharapkan. Terimakasih.,5,Positif,sesuai yg diharapkan terimakasih,2
"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",5,Positif,barangnya bagus pelayanan toko memuaskanrecomend,2
suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah Diiiiteeeerimaaaaa,4,Positif,suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah diiiiteeeerimaaaaa,2
Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,2,Negatif,pengiriman respon super cepat tpi barang sesuai gambar kuat menembus jok motor,0
"Produk sesuai deskripsi, packing rapi.. rekomended..!",5,Positif,produk sesuai deskripsi packing rapi rekomended,2
Ok lah.. sesuai denggan harga.,3,Netral,ok sesuai denggan harga,1
bukan merk kenmaster ternyata,4,Positif,merk kenmaster,2
Terimakasih barang sudah sampai,5,Positif,terimakasih barang,2
"Bagus..
Pengiriman cukup cepat",5,Positif,bagus pengiriman cepat,2
Siiiiiiiippppppppp...,5,Positif,siiiiiiiippppppppp,2
Barang udh sampe...mksh....,4,Positif,barang udh sampemksh,2
Terimakasih barangnya udah sampai.,5,Positif,terimakasih barangnya udah,2
Fast respon dan terbaiks,5,Positif,fast respon terbaiks,2
makasih barang sudah sampai,5,Positif,makasih barang,2
Bagus.......top pengiriman cepat,4,Positif,bagustop pengiriman cepat,2
thanksss........................,5,Positif,thanksss,2
Merk beda tapi gpp yg penting ukrn sama,4,Positif,merk beda gpp yg ukrn,2
Lihat bintangnya aja dahhhhh,5,Positif,lihat bintangnya aja dahhhhh,2
"bagus ,....................    ........",5,Positif,bagus,2
"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",5,Positif,barang diterima ukuran sesuai deskripsi mereknya beda dikirim berfungsi,2
Barang sudah sampai....tks..,5,Positif,barang sampaitks,2
"Bagus,,,,,, terimakasih .......",5,Positif,bagus terimakasih,2
"barang sudah samapai gan, dan bagus",5,Positif,barang samapai gan bagus,2
"mantafff, sangat-sangat sesuai,,,",5,Positif,mantafff sangatsangat sesuai,2
Barang sudah diterima dengan baik...,5,Positif,barang diterima,2
"Pengiriman cepat, Kemasan bagus",5,Positif,pengiriman cepat kemasan bagus,2
SESUAI PERMINTAAN.. FAST RESPON,5,Positif,sesuai permintaan fast respon,2
Matab...good...sesuai permintaan...,5,Positif,matabgoodsesuai permintaan,2
barang yg dikirim tidak sesuai pesanan,1,Negatif,barang yg dikirim sesuai pesanan,0
barang lumayan kuat.... good,5,Positif,barang lumayan kuat good,2
sudah sampai murah meriah,5,Positif,murah meriah,2
"sudah di terima bos
packing bagus, aman",5,Positif,terima bos packing bagus aman,2
"makasih, barang sesuai gambar",5,Positif,makasih barang sesuai gambar,2
langsung dipakai. mantap. thanks. maaf baru kasi testi,5,Positif,langsung dipakai mantap thanks maaf kasi testi,2
"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",5,Positif,harganya murah tp isinya lumayan n kuat pesan kmrn hr nyampe thanks toko besi timur jaya tokopedia n wahana,2
ok.....................................,4,Positif,ok,2
terimakasih barang sdh diterima,4,Positif,terimakasih barang sdh diterima,2
Unit nya sudah sampai....thanks,4,Positif,unit nya sampaithanks,2
Barang sudah sampai.. terima kasih,3,Netral,barang terima kasih,1
ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,5,Positif,ga nyampe sejam dr transaksiudah nyampe rumahmksh,2
"good.......cepat, packing aman.....",5,Positif,goodcepat packing aman,2
Barang sangat bagus sesuai diskripsi,5,Positif,barang bagus sesuai diskripsi,2
mantap sampai dengan aman gan.............................,5,Positif,mantap aman gan,2
barang udah nyampe om makasihhhhh,5,Positif,barang udah nyampe om makasihhhhh,2
recomended....................................,5,Positif,recomended,2
"barang sesuai, pengiriman cepat, ok",5,Positif,barang sesuai pengiriman cepat ok,2
mantab... fast respone.. tx u..,5,Positif,mantab fast respone tx u,2
"Barang bagus, packing cukup, kurir ramah",5,Positif,barang bagus packing kurir ramah,2
Mantapppp banget ......,5,Positif,mantapppp banget,2
produk sesuai dan bagus. thanks,5,Positif,produk sesuai bagus thanks,2
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",1,Negatif,php bilang isi diseskripsi pas dipesen berbeda mubajir rp isinya ga cocok,0
Terima kasih semoga bermanfaat..,5,Positif,terima kasih semoga bermanfaat,2
Barang sesuai gambar dan diterima dalam kondisi baik,5,Positif,barang sesuai gambar diterima kondisi,2
"Trmksih banyak juragan....
Atas kerjasamanya.....",5,Positif,trmksih juragan kerjasamanya,2
Keren produk nya mantaps,5,Positif,keren produk nya mantaps,2
Barangnya sesuai syn digambar,4,Positif,barangnya sesuai syn digambar,2
"barang bagus...packing rapi,pokoknya top bgt",5,Positif,barang baguspacking rapipokoknya top bgt,2
ok..................     . ..     .         ..,5,Positif,ok,2
Sesuai dengan apa yg sudah dijelaskan pada detail produk,5,Positif,sesuai yg detail produk,2
"Barang cepat sampai, tapi belum dicoba, besoklah kucoba dulu ya. baru testi lagi. thx",5,Positif,barang cepat dicoba besoklah kucoba ya testi thx,2
Fast respon. Barang sesuai dengan di gambar,3,Netral,fast respon barang sesuai gambar,1
"Barang bagus,pengiriman cepat,recomended",5,Positif,barang baguspengiriman cepatrecomended,2
barang dah nyampek. trimakasih,4,Positif,barang dah nyampek trimakasih,2
barang sudah diterima dengan baik dan sesuai,5,Positif,barang diterima sesuai,2
"cepet respon'a
pesen pagi, siang udh sampe",5,Positif,cepet respona pesen pagi siang udh sampe,2
"mantab...cepat sekali pengiriman
pesan pagi...siang udah dteng
barangnya jg bagus....thx",5,Positif,mantabcepat pengiriman pesan pagisiang udah dteng barangnya jg bagusthx,2
Trimsssssss...................,5,Positif,trimsssssss,2
barang Bagus pengiriman cepat ..........,5,Positif,barang bagus pengiriman cepat,2
sudah terima dan respon cepat.....................................,4,Positif,terima respon cepat,2
terimakasih gan barang cepat sampai dan sesuai dengan yang di orde,5,Positif,terimakasih gan barang cepat sesuai orde,2
pelayanan memuaskan gan.....................................,4,Positif,pelayanan memuaskan gan,2
barang sudah sampai tujuan dengan cepat gan mkash,4,Positif,barang tujuan cepat gan mkash,2
Recsell👍👍👍👍,4,Positif,recsell👍👍👍👍,2
Keren bagus sangat berguna sekali,5,Positif,keren bagus berguna,2
"Barang sesuai gambar, packing rapihlah,
Pengiriman standar dan harga terjangkau..

Terima kasih",5,Positif,barang sesuai gambar packing rapihlah pengiriman standar harga terjangkau terima kasih,2
"Belum dicoba, klo ok nanti bintang nya saya tambah",4,Positif,dicoba klo ok bintang nya,2
Recomended seller semoga awet,5,Positif,recomended seller semoga awet,2
Barang oke terima kasih,3,Netral,barang oke terima kasih,1
"Barang bagus, berfungsi dgn baik....",5,Positif,barang bagus berfungsi dgn,2
Barangnya datang tepat waktu,5,Positif,barangnya,2
Barang sudah diterima dengan baik dan pengiriman yg cepat. Terima kasih.,5,Positif,barang diterima pengiriman yg cepat terima kasih,2
mantap gun tackernya gan,5,Positif,mantap gun tackernya gan,2
Gooooooooooooooooooood,5,Positif,gooooooooooooooooooood,2
Seller merespon dengan cepat dengan proses pengiriman yang juga cepat. Barang dipacking rapi dan berkualitas baru (bnib). Stapler gun sudah termasuk isinya dan ada 3 jenis ukuran.,5,Positif,seller merespon cepat proses pengiriman cepat barang dipacking rapi berkualitas bnib stapler gun isinya jenis ukuran,2
Sesuai deskripsi......lumayan lah buat pertama kali,3,Netral,sesuai deskripsilumayan kali,1
barang jelek copot&#34; terus tmpat taro isinya,2,Negatif,barang jelek copot tmpat taro isinya,0
👍👍👍👍👍👍👍,5,Positif,👍👍👍👍👍👍👍,2
Barang dah sampe..cepat rapi dan respon penjual baik,5,Positif,barang dah sampecepat rapi respon penjual,2
"barang sudah diterima dalam kondisi bagus, sudah di test, terimakasih",5,Positif,barang diterima kondisi bagus test terimakasih,2
Produk bagus dan respon cepat.,5,Positif,produk bagus respon cepat,2
Terima kasih seller barang baru sampai.tapi kurang teliti.mohon d perbaiki lg ya supaya gak tertukar no resinya dgn yg lain....,3,Netral,terima kasih seller barang sampaitapi telitimohon d perbaiki lg ya gak tertukar no resinya dgn yg,1
"Mantap, rekomen seller, barang bagus",5,Positif,mantap rekomen seller barang bagus,2
Barang sesuai deskripsi. Pengiriman cepat. Thanks 👍,5,Positif,barang sesuai deskripsi pengiriman cepat thanks 👍,2
"delivery cepat, packing rapih, produk sesuai deskripsi gambar, trims ya gan",5,Positif,delivery cepat packing rapih produk sesuai deskripsi gambar trims ya gan,2
"barang sudah sampai, 
langsung dicoba n lancar jaya. 
thanks seller.",5,Positif,barang langsung dicoba n lancar jaya thanks seller,2
Mantaps brng sesuai dan cepat responnya,5,Positif,mantaps brng sesuai cepat responnya,2
"Barang sesuai gambar 
Respon penjual cepat",5,Positif,barang sesuai gambar respon penjual cepat,2
Barang di terima sesuai spek,5,Positif,barang terima sesuai spek,2
"Barang telah tiba, sesuai gambar...",5,Positif,barang sesuai gambar,2
Barang sudah di terima thank u,5,Positif,barang terima thank u,2
Terimakasih gan barang sudah sampai,5,Positif,terimakasih gan barang,2
Barang sudaj sampai gan tks....,5,Positif,barang sudaj gan tks,2
respon cepat... pengiriman juga cepat... sudah dites kualitas barang ok... trims,5,Positif,respon cepat pengiriman cepat dites kualitas barang ok trims,2
Terimakasihhhhhhh.............,5,Positif,terimakasihhhhhhh,2
"barang sdh dterima dgn baik, trima kasih..",5,Positif,barang sdh dterima dgn trima kasih,2
"Barang sudah di terima, bagus, packing rapih makasih pelayanan nya",5,Positif,barang terima bagus packing rapih makasih pelayanan nya,2
"Barang sudah sampai, bahan kokoh sptnya..udah di tes ke kayu..nempel kuat..untung dapet bonus isi nya..trims gan.",4,Positif,barang bahan kokoh sptnyaudah tes kayunempel kuatuntung dapet bonus isi nyatrims gan,2
Packing sangat rapih dan barang sesuai yg dipesan,5,Positif,packing rapih barang sesuai yg dipesan,2
"Mantap, ajib, top, joss",5,Positif,mantap ajib top joss,2
Pengiriman &amp; packaging bagus. Sesuai foto &amp; deskripsi. Staple gun agak berat ketika dipake.,4,Positif,pengiriman amp packaging bagus sesuai foto amp deskripsi staple gun berat dipake,2
oke........... sesuai pesanan,5,Positif,oke sesuai pesanan,2
makasih gan...barang sesuai ....,4,Positif,makasih ganbarang sesuai,2
Barang bagus. Kalau beli isinya kira2 di Toko ATK ada yang jual nda ya?,5,Positif,barang bagus beli isinya toko atk jual nda ya,2
"trims yaaa, barangx sdh sampai",5,Positif,trims yaaa barangx sdh,2
barang sesuai walaupun belum di coba...makasih tokopedia,5,Positif,barang sesuai cobamakasih tokopedia,2
packing bagus barang sesuai diskripsi,3,Netral,packing bagus barang sesuai diskripsi,1
mantab fast respon...,5,Positif,mantab fast respon,2
"barang sudah sampai, belum tak coba",5,Positif,barang coba,2
baguuuus sesuai deskripsi dan gambar. belum dicoba sih semoga g ada masalah,5,Positif,baguuuus sesuai deskripsi gambar dicoba sih semoga g,2
Produk bekerja dengan baik &amp; kuat,5,Positif,produk amp kuat,2
Beli staples gak jual isinya... hanya sekali pake.... ckckck,1,Negatif,beli staples gak jual isinya pake ckckck,0
Bagusbanget......................................................................,5,Positif,bagusbanget,2
terimakasih barang sudah sampai,3,Netral,terimakasih barang,1
Puas pisan cepet pisan,5,Positif,puas pisan cepet pisan,2
"barang bagus sesuai deskripsi, packing rapi, pengiriman cepat. semoga tambah sukses gan, tks.",5,Positif,barang bagus sesuai deskripsi packing rapi pengiriman cepat semoga sukses gan tks,2
kirimannya sudah sampe.. makasih,4,Positif,kirimannya sampe makasih,2
Barang sesuai pesanan,5,Positif,barang sesuai pesanan,2
Barang sdh sampai dgn cepat.. Sdh dicoba dan hasilnya ok... Sukses terus boss.....,5,Positif,barang sdh dgn cepat sdh dicoba hasilnya ok sukses boss,2
"sesuai gambar, tp blm dicoba... semoga memuaskan....thanks",4,Positif,sesuai gambar tp blm dicoba semoga memuaskanthanks,2
barangnya kurang bagus atomnya gak masuk semua,3,Netral,barangnya bagus atomnya gak masuk,1
sangat cepat responnya..good job thanks,5,Positif,cepat responnyagood job thanks,2
sudah saya terima dlm keadaan baik. trims,5,Positif,terima dlm trims,2
"Terima kasih, Thank You, Danke, Gracias, Kittos, Syukron.",5,Positif,terima kasih thank you danke gracias kittos syukron,2
"Brg sesuai gambar, pelayanan oke",5,Positif,brg sesuai gambar pelayanan oke,2
Barang sdh sampai....,4,Positif,barang sdh,2
Barang sudah di terima dengan baik,4,Positif,barang terima,2
barang sesuai gambar. kemasan baik dan pengiriman cepat. terima kasih,5,Positif,barang sesuai gambar kemasan pengiriman cepat terima kasih,2
"Barang sesuai deskripsi,cuma terlambat di pengiriman.Semoga berkah",4,Positif,barang sesuai deskripsicuma terlambat pengirimansemoga berkah,2
"Sesuai dgn deskripsi dan foto, dan sangat cocok bagi saya yg baru belajar.  Saya REKOMENDASIKAN Toko Rumah Baju Kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat. Setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan Pos Indonesia sudah sesuai dengan waktu pengiriman yg saya pilih. Sy puas dengan pelayan kalian",5,Positif,sesuai dgn deskripsi foto cocok yg belajar rekomendasikan toko rumah baju belanja komitmen dgn pembicaraan dichat bayar barang langsung diproses dikirim pengirimannya pos indonesia sesuai pengiriman yg pilih sy puas pelayan,2
good product. mantab jaya. recomended seller,5,Positif,good product mantab jaya recomended seller,2
Produk mantab pelayanan cepat.... Terimakasih,5,Positif,produk mantab pelayanan cepat terimakasih,2
"Barang sesuai deskripsi, tolong pakingnya di pebaiki lagi  dikasih lakban biar aman, punya saya pakunya tercecer dimana2 kotaknya robek",4,Positif,barang sesuai deskripsi tolong pakingnya pebaiki dikasih lakban biar aman pakunya tercecer dimana kotaknya robek,2
"Barang sesuai deskripsi dan bagus, semoga awet. Thx",5,Positif,barang sesuai deskripsi bagus semoga awet thx,2
Packing Baik. Recommended Seller. Barang Sesuai Pesanan,5,Positif,packing recommended seller barang sesuai pesanan,2
"bagus...
nanti saya pesan lagi di toko ini",5,Positif,bagus pesan toko,2
Mantap gan bagus...........,5,Positif,mantap gan bagus,2
"Saya mau review utk packaging, produk dan penjual.
Pertama packaging sangat rapi, pakai double bubble dan dibalut lagi dengan karton tebal.
Kedua produk sangat berkualitas tinggi, harga standar dan kualitas juara, ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya.
Ketiga penjual sangat sangat ramah, baru kali pertama ini saya dilayani dengan sangat puas. Pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan, bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu.

Saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller.",5,Positif,review utk packaging produk penjual packaging rapi pakai double bubble dibalut karton tebal produk berkualitas harga standar kualitas juara ketajaman ujung mata paku tajam mempermudah paku tembusnya ketiga penjual ramah kali dilayani puas beli barang ancur parah ekspedisi langsung komplain coba utk diskusi penjual hasilnya memuaskan penjual utk mengirim ulang membawa barang yg rusaknya jamin pengalaman pribadi kalo toko berani bersaing sisi harga recommended seller,2
"Respon dan pengiriman cepat, barang oke, good seller",5,Positif,respon pengiriman cepat barang oke good seller,2
"Pengiriman cepat,packing rapi dan barangnya sesuai dgn deskripsi",5,Positif,pengiriman cepatpacking rapi barangnya sesuai dgn deskripsi,2
Bagus bagus bagusksksnsnjsjjsksmmsms,5,Positif,bagus bagus bagusksksnsnjsjjsksmmsms,2
"Respon dan pengiriman cepat, barang bagus",5,Positif,respon pengiriman cepat barang bagus,2
"Selamat sampai tujuan,barang berfungsi normal,isi paket lengkap",5,Positif,selamat tujuanbarang berfungsi normalisi paket lengkap,2
"Recomended seller, respon cepat packing mantap, barang pesanan di buble wrap.... Josss",5,Positif,recomended seller respon cepat packing mantap barang pesanan buble wrap josss,2
"Produknya ok,...............",5,Positif,produknya ok,2
"Kualitas okey, makasih Gan. Semua barang aman, dan sesuai deskripsi.",5,Positif,kualitas okey makasih gan barang aman sesuai deskripsi,2
"mantab joos  tanpa kendala, sampai jg sangat cepat, packingnya aman kemasan dan produk mulus, top pkoknya sukses selalu",5,Positif,mantab joos kendala jg cepat packingnya aman kemasan produk mulus top pkoknya sukses,2
"barang sesuai pesanan, respon dan pengiriman cepat, good Seller",5,Positif,barang sesuai pesanan respon pengiriman cepat good seller,2
Barang sesuai posting.. siip,5,Positif,barang sesuai posting siip,2
"berfungsi dengan baik, pengiriman dan respon cepat",5,Positif,berfungsi pengiriman respon cepat,2
Barang sesuai dengan gambar pengiriman cepat. Respon Seller 👍🏼👍🏼,5,Positif,barang sesuai gambar pengiriman cepat respon seller 👍🏼👍🏼,2
"Recommended seller
...",5,Positif,recommended seller,2
"Barang bagus, respond cepat..",5,Positif,barang bagus respond cepat,2
Barang sesuai order respon dan pengiriman cepat,4,Positif,barang sesuai order respon pengiriman cepat,2
Terima kasih pak. Barang nay sudah sampai,4,Positif,terima kasih barang nay,2
Bagusssssssssssss mksh,5,Positif,bagusssssssssssss mksh,2
"Pas dengan air nailer nya gan .. thanks.

Recommended seller.",5,Positif,pas air nailer nya gan thanks recommended seller,2
oke sip sudah dinpake.. mantap,5,Positif,oke sip dinpake mantap,2
Makasih juragan.......,4,Positif,makasih juragan,2
MANTAB..!!! SALAM NINGRAT..!!!,5,Positif,mantab salam ningrat,2
"Best dah best best, penjual yg bner  best dah....",5,Positif,best dah best best penjual yg bner best dah,2
Barang datang sesuai pesanan. Packing rapi.,4,Positif,barang sesuai pesanan packing rapi,2
mantap barng oke dn cepat,4,Positif,mantap barng oke dn cepat,2
"mkasih bnyak barang sesuai :) harga miring, kualitas baguss sekali, sukses ya gan",5,Positif,mkasih bnyak barang sesuai harga miring kualitas baguss sukses ya gan,2
"Alhamdulillah paket sdh sampai, respon dan pelayanan cepat, recommended deh, mksh bos",4,Positif,alhamdulillah paket sdh respon pelayanan cepat recommended deh mksh bos,2
Barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,4,Positif,barang sesuai pesanan kalok tambahin bonus isi staplesnya,2
Produk Bagus..cuma isinya agak Susah..Produk sesuai deskripsi. Langsung dipakai ok dan mantul. Moga awet aja. Terima kasih,5,Positif,produk baguscuma isinya susahproduk sesuai deskripsi langsung dipakai ok mantul moga awet aja terima kasih,2
terima kasih paket sudah di terima,3,Netral,terima kasih paket terima,1
Gan jual isi steples nya.....,5,Positif,gan jual isi steples nya,2
Barang bagus..........respon cepat...........maaf ulasannya lambat,4,Positif,barang bagusrespon cepatmaaf ulasannya lambat,2
barang sudah diterima.......................,4,Positif,barang diterima,2
makasih barang dah smpai dengan aman,4,Positif,makasih barang dah smpai aman,2
"barang sudah sampai dengan packing rapih , terimakasih gan",4,Positif,barang packing rapih terimakasih gan,2
alhamdulillah barang nya sdh kami terima dgn baik.  pesanan cepat sesuai dengan harapan.. 1 hari proses pengiriman..  mantap,4,Positif,alhamdulillah barang nya sdh terima dgn pesanan cepat sesuai harapan proses pengiriman mantap,2
"paket sudah saya terima dengan baik, terima kasih banyak atas pelayanannya!",5,Positif,paket terima terima kasih pelayanannya,2
barang udh nyampe gan. tks. Sukses terus HOUSE SPAREPART....,5,Positif,barang udh nyampe gan tks sukses house sparepart,2
barang sudah sampai.. tetapi bingung cara penggunaannya krn tdk ada petunjuk pemakaian.. tulisannya bahasa China semuanya..,4,Positif,barang bingung penggunaannya krn tdk petunjuk pemakaian tulisannya bahasa china,2
"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",1,Negatif,ngirim barangdiperiksa gan kondisi barangnya layak gak gitu loh isinya karatan,0
Item is ok! Packing and delivery speed are also prima.Thanks,5,Positif,item is ok packing and delivery speed are also primathanks,2
"Trima Kasih, sdh sy dtrima dgn baik..",5,Positif,trima kasih sdh sy dtrima dgn,2
"Pengiriman Cepat, packing aman tp Isi staplesnya pada karatan semua, beli 2 box",3,Netral,pengiriman cepat packing aman tp isi staplesnya karatan beli box,1
Makasih juragannnnnnnnnnnnn,5,Positif,makasih juragannnnnnnnnnnnn,2
"Sangat Puaasss, Barang sudah di terima dengan baik",5,Positif,puaasss barang terima,2
"Terima kasih, barang sudah diterima dengan baik",5,Positif,terima kasih barang diterima,2
